featureIDs,X4132_1A_80MeOH_NdCL3.mzML,X4132_2A_80MeOH_NdCL3.mzML,X4132_3A_80MeOH_NdCL3.mzML,X4132_4A_80MeOH_NdCL3.mzML,X4133_1A_80MeOH_NdCl3.mzML,X4133_2A_80MeOH_NdCl3.mzML,X4133_3A_80MeOH_NdCl3_.mzML,X4133_4A_80MeOH_NdCl3_.mzML,logFC,pvalue,logpval,Sample_Type,,,
250,2.58380617654079e-05,4.29330545910386e-05,2.57912941042403e-05,3.08738364957886e-05,1.50666464819026e-05,3.28292666828812e-05,1.10782719338473e-05,4.38077649903286e-05,0.28736737,0.545024095,0.263584297,Not Significant,,,
446,1.57506903795872e-06,3.18037412841684e-05,4.8667717724589e-06,3.18334142793712e-07,1.21355297464651e-05,4.44721989977444e-05,7.59020299412839e-06,8.57391021922141e-05,-1.959033296,0.227338726,0.643326578,Not Significant,,,
215,3.31874891181202e-06,6.87721072519136e-06,7.00174106965756e-07,3.18334142793712e-07,2.93191015147408e-07,6.80256192156847e-06,2.35805769799878e-07,8.94704083771688e-06,-0.537615421,0.658273086,0.181593901,Not Significant,,,
197,2.91623741675233e-07,1.7563205392869e-06,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,5.59461370115505e-06,2.35805769799878e-07,2.17933747504077e-06,-1.67118474,0.345872567,0.461083883,Not Significant,,,
232,7.83621900445219e-06,1.3508056174926e-05,4.75812649906035e-06,1.1662190868081e-05,2.93191015147408e-07,1.02996604771534e-05,1.37616516156525e-06,9.83999425084035e-06,0.79210988,0.278274316,0.555526875,Not Significant,,,
408,3.18712901268715e-06,2.83195142931904e-05,4.10529563648163e-06,3.18334142793712e-07,8.46852285189021e-06,3.15781407978675e-05,6.46229952503478e-06,5.55748167746749e-05,-1.50648185,0.269532754,0.569388451,Not Significant,,,
538,2.91623741675233e-07,1.5533908427627e-05,1.31129992797978e-06,3.18334142793712e-07,6.2096571082716e-06,2.06853934487653e-05,3.59652201181772e-06,4.48427540386996e-05,-2.109653292,0.228969506,0.640222352,Not Significant,,,
549,2.91623741675233e-07,1.91277190600615e-05,1.43161450578289e-06,3.18334142793712e-07,6.02532573097507e-06,2.07337184669009e-05,2.36985295082077e-06,3.69853418908498e-05,-1.642988037,0.275440509,0.559972187,Not Significant,,,
263,3.45582127957017e-06,1.39035211125393e-05,3.08738271812532e-06,1.34278828505744e-06,1.20646289578196e-06,1.56661186852271e-05,2.35805769799878e-07,1.6777247238056e-05,-0.637039811,0.593705178,0.226429163,Not Significant,,,
346,8.73441629165742e-06,3.44236187424271e-05,6.44853327865859e-06,2.99838147224064e-06,1.09485099157267e-05,3.41211290191975e-05,6.10734947706527e-06,4.99742938818455e-05,-0.94324415,0.373921651,0.427219387,Not Significant,,,
601,2.91623741675233e-07,5.85726055822536e-06,2.40808917350663e-07,3.18334142793712e-07,1.11284796908953e-06,7.22095004347928e-06,1.82016570714594e-06,7.01351923752498e-06,-1.355718053,0.270825417,0.56731058,Not Significant,,,
